"","titulo","descricao","theme","location","target"
"1815","CLUB 10 INITIATIVE: Clean Water and Sanitation","Hifadhi Africa Organization is launching CLUB 10, a new monthly giving community that invites donations of just $10 monthly. This budget-friendly entry point recognizes that even those who might not have much to give can still play an important role in supporting the cause of clean water for all under SDG 6. While $10 monthly may not seem much, over a year's time, this grows to $120 and provide at least one person with reliable water access for an entire year.","Clean Water","Kenya",3
"1816","Educate Girls in Zambia on Gender Equity","The primary objectives of the project are to address the issue of girls' education, and address the root causes that hinder their full participation and attendance, which have also been exacerbated as a result of COVID- 19. This will be done through school sessions and safe counselling groups, which will provide awareness and sensitize the students (including teenage boys) on the benefits of gender equity. The focus of the intervention will be to reduce the number of out of school girls.","Education","Zambia",11
"1817","Break The Cycle Of Poverty Through Education in GT","Ninos de Guatemala (NDG) provides over 500 children from low income families with access to the quality education they deserve. Operating 3 schools, NDG partners with families and the community to help children gain ""skills for success"" that will serve them in both education and life. NDG strives to be self-sustainable due to its Child Sponsorship Program and its two social business initiatives: a Spanish school and a tour operator based in Antigua, Guatemala.","Education","Guatemala",11
"1818","Emergency Ambulance for Whisper's Hospital","A life saving ambulance that will be used for transportation of dying children who need urgently oxygen and blood transfusion. This ambulance will also be in used to transport and give first aid to mothers in labour pain, mothers with complications after giving birth, and other major urgent maternity surgical procedures. This ambulance will be able to have a small laboratory and blood cross-matching equipment for urgent blood transfusion. The ambulance will be operated by doctors and nursers.","Physical Health","Uganda",20
"1819","Supporting 350 Female Detainees in Sierra Leone","Police cells in Sierra Leone are poorly equipped and often almost uninhabitable. Correctional Centres are slightly better, but women can be imprisoned for years on end with poor access to sanitary items and appropriate medication, and many do not receive visits from family members at all. AdvocAid seeks to allow women to preserve their dignity and obtain new skills while in detention by providing education, counselling and welfare support.","Gender Equality","Sierra Leone",15
"1820","Support rural education in Argentina","Santiago del Estero is one of the poorest areas and has the largest rural population in Argentina . By empowering rural schools, we aim to develop the community, the families and children, focusing in three main subjects: education, nutrition and health. Our work improves the life of over 1300 primary students from 35 rural communities, reaching food security, guaranteeing health care, providing clean water access and enhancing educational quality.","Education","Argentina",11
"1821","Feed 1275 slum dwellers for a year in Thailand","This project aims to provide, on a weekly basis, essential food items, in the form of food packs, to underprivileged households presently living in the slums in Pattaya. These packs help to improve the general health and well being of all members of the families. In addition food is used to feed children and adults in the Hand to Hand foundations preschool and Saturday Kid's Club.","Food Security","Thailand",14
"1822","Coronavirus Emergency Food Distribution","When COVID19 arrived in Kenya, Springs of Hope Foundation shifted its focus from a free vocational training school for vulnerable young women to making facemasks to be given to the most vulnerable in our community. It quickly became apparent that catastrophic food shortages & mass starvation were greater devastations than the virus itself. Since March we have been focusing on a free food hamper & facemask distribution program to the elderly, people with disabilities & child-headed households.","COVID-19","Kenya",5
"1823","Heal One World: Inner-City Preventative Healthcare","We organize free classes in Nutrition, Dance, Yoga, Pilates, Awareness Through Movement, Tai Chi, Meditation and others for people who are in need of preventive, non-invasive health care or treatment of chronic diseases. Providing individual non-invasive care and building partnerships with free or low cost clinics in Los Angeles to help people who are in need of treatment or health guidance, providing referrals for people in need of alternative practitioners offering free or sliding scale care.","Physical Health","United States",20
"1824","Mariposa Center For Girls","The Mariposa Center for Girls is a first-rate facility that inspires achievement. We are transforming the property into a beautiful campus where girls come to engage in sports, receive academic tutoring, have access to libraries and computers, receive job and life skills training and health and wellness care. It is a place where girl champions can share knowledge on how empowering girls will lift entire families out of generational poverty.","Gender Equality","Dominican Republic",15
"1825","LETS GIVE THEM THE DIGNITY THEY DESERVE","We have seen a sharp increase in people living in the street as a consequence of the economic crisis and the ongoing pandemic. We need your help so we can continue providing life saving solutions to the people living on the street in towns throughout Chile. We aim to make every corner of Chile a decent place for EVERYONE.","Physical Health","Chile",20
"1826","Empower communities to end child marriage - Mexico","Mexico is one of the countries with the highest rate of child marriage in the world. Almost 300,000 of today's girls and boys have been forced into marriage, most of them sold, and to an older spouse. Facilitating community processes, we have already ended the sale of girls for marriage in 3 communities. We want to continue impacting many more communities in Mexico where child marriage persists.","Gender Equality","Mexico",15
"1827","Bringing Quality of Life to Adopted Orphan Child","Its a gloomy picture of society seeing day to day worsening situation of street or orphan children in Pakistan. These children are treated badly. When a child in Pakistan loses his/her father their chances for survival steeply decrease. In order to stay alive, these children and their mothers, often resort to begging or stealing. Drug abuse is not uncommon. Most horrifyingly, without sufficient parental or governmental protection, these children are forced to work as prostitutes or slaves","Child Protection","Pakistan",2
"1828","Shelter, Food and Care for Oldage poor Women India","The prime objective of the project to provide Food, Shelter, Clothes, Medical treatment and social security to Oldage destitute Women. The proposed project has been implementing since two years to providing for Food, Clothes, Bed sheets, simple Medicines to the Oldage destitute Women by the help and cooperation of the Philanthropists, humanitarians and other Donor Agencies in Local and international for this cause. In Kurnool District frequent drought and famine are common in this area.","Food Security","India",14
"1829","Food support for Kibera's after school Program","As most people struggle with economic recovery from the effects of COVID 19, many breadwinners for families in our network in Kibera rely on informal labor markets to support their families; some of these families are unable to provide a minimum of two meals to their children we teach. Many people live hand to mouth, unable to build financial safety nets and thus unable to provide food and basic necessities for their children. We are raising funds for food assistance during our classes.","Education","Kenya",11
"1830","Puberty Health for Migrant Children","Since 2008, Shanghai Roots & Shoots has been dedicated to improving the personal health and hygiene of migrant children living in Shanghai. In 2019, a new initiative was launched to raise public awareness of proper puberty education for migrant children, which they cannot access through parents and schools. The project plans to ensure that migrant children, parents, and teachers from migrant schools can receive a better puberty education to improve puberty health for migrant children.","Child Protection","China",2
"1831","Educate Destitute Girls in Kolkata, India","This project empowers girls from very poor families to avoid early marriage and a life of extreme poverty, illiteracy, childbearing, abuse and drudgery. A sponsored girl remains in school and goes on to further education or vocational training. Educated and with financial independence she can delay marriage, is empowered to make decisions for herself and to support herself and her family.","Gender Equality","India",15
"1832","Feed Families in Appalachian Ohio","Fresh and healthy foods are essential. Unfortunately, these foods are inaccessible to many people, especially rural and low-income families. The Donation Station at Community Food Initiatives (CFI) addresses the most immediate food security issue -access to healthy, fresh foods for all. We are based in Athens County, Ohio, where rates of hunger are among the highest in the state. We are seeking to expand our programs to meet the needs of our community and share our model across Southeast Ohio.","Food Security","United States",14
"1833","Educate and Shelter Children in Red Light District","New Light is a night shelter/creche (care center) that protects young girls, children and women at high risk in one of the oldest red light districts of Kolkata in West Bengal, India. This area houses sex workers from the city and neighboring countries like Nepal and Bangladesh. New Light also operates a home where girls are safe from potential danger. Providing education, health care, legal aid and shelter from the harsh reality of the streets is crucial in changing the course of their lives.","Gender Equality","India",15
"1834","Big Move for Cheetah Experience!!","Our dream has always been to secure bigger land for our animals and we are excited to say that we have found the purrfect place!! 272 Ha of African bush where we can build bigger enclosures for the animals, with lots of trees and scrub land! The first hurdle is as ever money! This is where you come in! While we have successfully raised money for the enclosures, now we need to raise money for the meatroom, electric fencing as well as much more! The dream is big but so are our, and your hearts!","Wildlife Conservation","South Africa",27
"1835","Build a dorm for 50 street girls and mothers","Challenges faced by Street Youth continue to increase with the barriers brought in by the COVID-19 pandemic. Through the support of our donors via GlobalGiving, we have been able to construct a boy's dorm that has the capacity to host 60 and assist the street boys. However, the pandemic has worsened the situation for girls. Kenya reported a 40% increase in monthly teen pregnancies that includes a significant number of street girls. Our next step is to build the dorm with daycare for the girls.","Education","Kenya",11
"1836","Music Training Therapy Blind Youth Cambodia","The war and the Khmer Rouge genocide (1975-79) decimated Traditional Khmer Music and Arts and killed a third of the population. Our School has worked since 1994 to preserve Traditional Khmer Music and Arts for future generations of Cambodians. This Project provides Blind Youth with Vocational Training and Therapy in Traditional Khmer Music, as well as counselling and 24 hour care, so that they can forge a profession as Traditional Khmer Musicians and become Independent.","Disability Rights","Cambodia",7
"1837","Plant a tree: save earth & lives","CHHASE aims to plant 100,000 plants in three years. Preserving the tree is an obligation for everyone without exception, one tree will absorb approximately a ton of carbon dioxide during the course of its life cycle. Tree planting can restore global warming. Bring awareness to children. Protect the planet for our children and grandchildren.","Climate Action","India",4
"1838","Build a preschool for 100 Batwa Children.","The Batwa Pygmies once entertained for the Royal Family of Rwanda. Now, they often live as social outcasts in famine, poverty and neglect. Pygmy Survival Alliance partners with the Batwa Village of Cyaruzinge, Rwanda to empower these fabulous entertainers to adapt to the modern world and once again achieve greatness. This project will build a new preschool with traditional music, song, and dance, to enable this ancient culture to survive, and thrive in a rapidly modernizing world.","Education","Rwanda",11
"1839","End illiteracy in Pakistan by 2025","The project will establish/ assist 2000 nonformal schools to enroll, retain and educate around 40,000 out-of-school children. In the pilot phase, we have successfully established/assisted 926 one-room schools across Pakistan.","Education","Pakistan",11
"1840","Lotus Pedals - Help Cambodian Girls Get to School!","Lotus Pedals provides heavy-terrain bicycles to hundreds of at-risk Cambodian girls who would not otherwise be able to traverse the considerable distance to the nearest schoolhouse. Parents sign an agreement with Lotus Outreach that their daughter, after receiving the bicycle from Lotus Pedals, will remain in school for at least 2 years. We monitor girls' attendance at school to ensure the effectiveness of the program: ensuring girls have safe and reliable transportation to and from school.","Gender Equality","Cambodia",15
"1841","Adopt A Wildlife Acre","National Wildlife Federation's Adopt-a-Wildlife-Acre program solves dangerous conflicts between wildlife and livestock around Yellowstone National Park and throughout the Northern Rockies. With your help, we work to retire critical territory for wild bighorn sheep, bison, grizzly bears, wolves and other wildlife. The Adopt-a-Wildlife-Acre program creates agreements with local ranchers where we offer fair prices in exchange for retiring their grazing lands, giving wildlife more room to roam.","Wildlife Conservation","United States",27
"1842","Help 28,000 Indian Children Get Quality Education","The vision of Teach For India is that one day, all children will attain an excellent education. To achieve this vision, we are building a movement of leaders who will work to end educational inequity. Teach For India recruits India's most outstanding college graduates and young professionals and places them as full time teachers in under-resourced schools for two years through the Fellowship program. This year we are impacting more than 28,000 children in 250 low-income schools across 7 cities.","Education","India",11
"1843","Support Girls Education Now or Never","This projects will support our Girls Scholarship program, mentoring program and other girls development programs, activities and needs of the organisation that ensures increased enrollment, retention and completion rates of girls in primary and post primary schools particularly in conflict prone areas of Nigeria and beyond.","Gender Equality","Nigeria",15
"1844","Help American Sexual Assault Victims Abroad","If you were a victim of Sexual Assault while traveling overseas would you want someone to call who could help? According to the US Department of State over 80 million Americans travel abroad each year eager to explore foreign countries. Unfortunately, many become victims of sexual assault. Since the #MeToo movement began, we have experienced a 28% increase in the number of victims who are reaching out, especially vulnerable young American women studying abroad.","Gender Equality","United States",15
"1845","Help kids to overcome educational lag in Mexico!","Education in the rural community of San Miguel Viejo lags significantly for many reasons. Indigenous communities are disproportionately poorer than non-indigenous communities; most families lack critical resources, and many children complete education through 6th grade before leaving to earn necessary income. This project aims to overcome the educational lag and keep children interested in learning through integrated learning programs that include tutoring, arts, literacy, sports, and mentoring.","Education","Mexico",11
"1846","Plant 10,000 Trees to Reduce Carbon Footprints","Seva Mandir is working to restore degraded Aravalli hills in south Rajasthan. Till now, we have planted more than 2 million plants in the area which is drought prone and experience irregular rainfall. Through this project, we aim to plant 10,000 plants in this area which will restore local ecology and will also benefit local people with food, fuel and fodder. The local community will ensure survival of the plants making the project sustainable.","Climate Action","India",4
"1847","Save Lives In Libya","On September 11, 2023, Libya was struck by the devastating Mediterranean Hurricane Daniel, resulting in catastrophic flooding and the loss of more than 12,000 lives in a few days, with thousands still missing.","Disaster Response","Libya",8
"1848","Saving Kenya's Environment Through Family Planning","Kenya has one of the highest population growths in the world and has a poverty rate of 45%. As a result, Kenya's natural resources are dwindling! The Community Health Africa Trust (CHAT) is one of the few aid organizations providing innovative and FREE family planning services combined with ecological awareness education to underserved, often nomadic communities in central and northern Kenya. In turn, we conserve natural resources and reduce suffering - especially among women and children.","Climate Action","Kenya",4
"1849","Free Family Photos for Refugees/Disaster Survivors","Can you imagine having to flee your country and leave behind everything you own, including your framed memories? Can you imagine a fire or hurricane destroying your home and all of your belongings? This US-based project offers free family photos to refugees, migrants, asylum seekers, displaced people, and disaster survivors. Retake gives a little bit of hope/joy/dignity in the form of new keepsakes and framed portraits to people who have endured so much and are now rebuilding their lives.","Refugee Rights","United States",22
"1850","Educate an Orphan in Rural Western Kenya","As you know there is nothing as valuable in life as education. Tumaini Miles of Smiles Centre not only houses, feeds, clothes the orphans, abandoned and the poor, but goes deeper to provide quality education to enable them to become whole people in the society. Currently we are educating 300 children, Baby class - class 8 and 18 are joining high school this year. Our goal is to empower and equip these children to break the cycle of poverty. Get involved and lets experience the change together.","Physical Health","Kenya",20
"1851","Hearing screenings to detect childhood deafness","In Colombia, 3- 5% of screened children under the age of 5 are found to have hearing deficiencies. Appropriate treatment and follow-up can pose significant challenges since much of this population migrates often due to political and economic factors. In this project, your donation will directly support Oyeme's work detecting and addressing young children's hearing loss through additional screenings , and enhanced education of care-givers on related behavioral signs and overall hearing care.","Disability Rights","Colombia",7
"1852","Unleash the Leader in a Girl","The Mariposa Girls Leadership Program educates, empowers and employs girls living in extreme poverty in the Dominican Republic - setting them off on the path to become active leaders for social change","Gender Equality","Dominican Republic",15
"1853","Support orphaned children at our Sunshine Homes","Udayan Ghar - Sunshine Homes were set up to make sure children without parental care, do not remain 'nobody's children'. We believe that a loving family and home is a rightful privilege of every child. Udayan Ghar was set up in a model of Living In Family Environment (L.I.F.E) where lifelong volunteers called mentor mothers commit themselves to nurturing the children like their own. Since 1996, 1750 children have been nurtured in 16 homes across 4 states of India.","Child Protection","India",2
"1854","2022 Campaign: Educate at-risk youth in Kenya","We operate a residential school in rural Kenya where we support more than 220 orphans and at-risk youth from preschool through 8th grade, providing them with a nurturing home, food, medical care, and one of the best academic programs available in the region. We consistently rank among the top schools in our district of over 140 schools and have ranked 1st multiple times in the last 5 years. We work hard to maximize the impact of our resources and operate on a lean budget of $1 per child per day.","Education","Kenya",11
"1855","GIFT THE GIFT OF EDUCATION TO AN UNDER-SERVED GIRL","PROJECT NAME - Nandini GIVE THE GIFT OF EDUCATION TO AN UNDERSERVED GIRL CHILD (NANDINI) - Matriculation of a Girl Child (or drop-out, non-school going) through Gyantantra (Digital Dost - Literacy India's Holistic software that covers a curriculum for primary classes in multimedia form) and Vocational Training (Computer Education and Tailoring) for adolescent girls. Gyantantra is a composite learning module featuring a well structured curriculum.","Education","India",11
"1856","School 135 poor Cambodian children to prosperity.","Two schools for vulnerable, disadvantaged children from poor families that have operated for 10 years in Phnom Penh and Siem Reap, Cambodia need donors. Administered by a registered NGO of 25 years, Salvation Centre Cambodia (SCC), the schools teach English, Maths, Agriculture, Music to 135 students for free. Without these schools, the children will have reduced opportunities to pursue further education, get well-paid jobs and help lift their families, communities and country out of poverty.","Education","Cambodia",11
"1857","Girls' Day Shelter Maria de Nazareth, Nicaragua","The Girls' Day Shelter offers girls from extremely poor problem families a place to come during the day, before and after school. Girls can spend time at the shelter, receive meals, take showers, get help with their schoolwork and participate in creative activities. In critical situations, they may stay overnight. The girls' backgrounds may include alcohol, drugs, prostitution and sexual abuse. It was founded by two activist Nicaraguan women in 1999 and supported by Nicaragua Projekt since 2006.","Gender Equality","Nicaragua",15
"1858","Soma Children's Orchestra and Chorus","This project, the first El Sistema-inspired program in Japan takes place in Soma, Fukushima, one of the disaster areas of the East Japan Great Earthquake and Tsunami in March 2011, and serves the area's children who have been affected by that great tragedy by instructing and engaging children in a classical orchestral and chorus music education programs inspired by Venezuelan El Sistema's core values, such as teamwork, peer learning and joy.","Education","Japan",11
"1859","Mentor the Vulnerable Girl Child to Impact 1000s","Makomborero aims to see 1000s of girls stay in school through identifying vulnerable girls aged 13 - 14yrs and providing a Mentorship Programme that gives them hope and a vision for their futures beyond the social pressures they face. We hope to address, the gender imbalance we experience with our scholarship programme and to see more girls making it through to Form 4 and not dropping out at Form 2. This project will be a project run by Makomborero past girl students.","Gender Equality","Zimbabwe",15
"1860","Empower People with Disabilities in Cambodia","Epic Arts in Kampot, Cambodia supports people with disabilities and their families. Our mission is to create a more inclusive society, we do this through education, employment, social support and awareness raising. Every year we raise awareness of disability issues to the general public through arts and creative media, we teach children with disabilities in our special education classes, we support their families and we provide jobs and training opportunities for people with disabilities.","Disability Rights","Cambodia",7
"1861","Support & empower 1900+ persons with Down syndrome","The Down syndrome community is marginalized and lacks opportunities for independent living. The Karachi Down Syndrome Program (KDSP) is a one-stop solution advocating for the value, acceptance and inclusion of individuals with Down syndrome and providing quality, subsidized or free of cost services to them and their families including Early Childhood Intervention therapies (Physical, Occupational and Speech), Education, Skills Development, Healthcare, Family Support and Awareness.","Disability Rights","Pakistan",7
"1862","Argan Nursery and Forest in Essaouira, Morocco","Argan trees are endemic to Morocco and are vital to maximizing prosperity, food security and biodiversity in the nation's region of Essaouira. Its processing into oil and sale conducted by women's cooperatives empower them and their families, and provides markets a medicinal and delicious food product in high demand.","Climate Action","Morocco",4
"1863","Nature solutions for Community development","Poverty is the cause of Osa's depletion of natural resources. To protect our natural environment, reduce vulnerability to climate change, and promote food security, our environmental education program is working with hundreds of families and has empowered and trained them about their leading role as stewards of the environment and changemakers. We promote climate-friendly agriculture, restore ecosystems, and plant trees to promote stewardship of the natural environment and produce healthy food.","Climate Action","Costa Rica",4
"1864","Support Reforestation Across the Indigenous West","Trees, Water & People's reforestation project will help mitigate and address climate change effects by planting native trees in areas burned by forest fires on the Pine Ridge reservation in South Dakota, and the Pueblo of Santo Domingo in New Mexico. Reforestation will: sequester carbon and reduce greenhouse gases; improve air and water quality; reduce soil erosion; reestablish wildlife habitat; and enhance ecosystem resiliency, while engaging Native Americans in the protection of their lands.","Climate Action","United States",4
"1865","PEDAL POWER FOR KENYAN EDUCATION","Five Kenyan schools have now received a total of 300 bicycles, helmets, safety vests and tool kits. These are on loan to students who otherwise walk 5-6 miles each way to and from school. Attendance, promptness and academic achievement have all improved among participating students. Female students feel safer during their commutes to and from school. The goal for 2023 is to provide two more schools with a total of 100 bicycles and accessories.","Education","Kenya",11
"1866","Empowering 200 Girl Leaders in India","Empowered girls are a powerful catalyst to change development outcomes. The Girl Icon Program is a leadership development program that works with girls between 12-18 years from low socio-economic communities in India to empower them through experiential life-skills based journey, providing safe spaces to amplify their voices of change and opportunities to sensitize and mobilize communities through collective social action.","Gender Equality","India",15
"1867","Healing the Desert with Trees in Darfur","Kids for Kids works with communities in Darfur, Sudan an area that suffers the increasing effects of climate change. Kids for Kids is planting community forests in villages in Darfur, Sudan. The forests will create a microclimate that will reduce soil temperatures, increase soil moisture levels, stabilise the soil and stop the desert encroaching. The 14 different species of drought-resistant tree also provide shade, fruit and the seeds of the Moringa tree can also be used to clean water.","Climate Action","Sudan",4
"1868","Build a school for 100 Maasai children in Tanzania","Children in Kiruru village have to walk 10 miles every day to attend the nearest primary school. They are regularly attacked by wild animals and last year 3 were washed away in the Terat river. The village has been trying to build their own school for the past 2 years. This project will help them finish it, and build accommodation for the teachers. Parents will be more willing to let kids go to school if it is near, so more of Kiruru's children will be able to go to school, and remain safe.","Education","Tanzania, United Republic of",11
"1869","Ukraine Tensions: No Child Forgotten","On Thursday 24th February, Russia declared war on Ukraine. Thousands of people are now Internally Displaced Persons. Millions of people are fleeing contact zones. The war is crippling Ukraine's economy. UNICEF estimates that 7.5 million children are at risk. Families of children with disabilities - usually single mothers - suffer most. Accessing medical care will be near impossible. We help IDP and contact-zone families of children with disabilities access essential medical care.","Physical Health","Ukraine",20
"1870","Believe. Challenge. Grow.","Nor Luyce is a 3-phase mentoring program that aims to empower adolescent girls in Armenia, ages 13-18, from orphanages and low-income families to lead self-sufficient lives. Nor Luyce strives to build a community of strong, thoughtful, creative young women. We encourage our participants to work hard and dream big and help them reach their desired personal and career goals.","Gender Equality","Armenia",15
"1871","Support a Peace Farm in Bosnia and Herzegovina","Through our Basca Mogucnosti (Garden of Possibilities) initiative, we want to establish a place of great diversity, regarding not only plants that will be growing here and creatures using them, but also concerning spontaneous and long planned gatherings as well as the creation, exchange and implementation of ideas, told jokes, spoken languages, learned lessons, relationships and thoughts that hopefully will also be growing here.","Economic Growth","Bosnia and Herzegovina",9
"1872","EDUCATE AND NOURISH 2,650 STUDENTS IN VENEZUELA","America Developing Smiles plans to provide nutritious food for 2,650 students and 180 teachers located across three schools managed by Asociacion Damas Salesianas in high need, underserved areas of Venezuela. Additionally, this project will provide these teachers with the means necessary for them to continue delivering academic guidance and education to their students.","Education","Venezuela",11
"1873","Helping sick and disabled children in the UK.","At the Theodora Children's Charity we help children living with illness, disability and serious health challenges to feel better using the proven power of laughter. Our vision is to contribute to the wellbeing of children in the 21 hospitals, 3 hospices and 2 specialist care centres we visit across England. We do this by providing visits from professional performers who have been trained to work in a medical environment called Giggle Doctors who combine music, play, magic and storytelling.","Physical Health","United Kingdom",20
"1874","Die Arche - Warsaw","""Making children strong for life!"" This slogan neatly sums up how ""Die Arche"" reaches out to support socially disadvantaged children and young people in inner cities of Germany and Poland. Every day, the children we support enjoy a free lunch, get help with their homework and have a chance to participate in meaningful after-school activities. At Die Arche, we give children the space they need to discover their potential. We nurture their talent, encourage and facilitate educational achievement.","Education","Poland",11
"1875","Defending Palestinians with Strategic Litigation","Palestinians in Israel and the Occupied Territory have need more than ever for a strategic legal defense of their rights and lands. Building on close to 25 years of legal experience and landmark victories, Adalah is ramping up its fight against racist laws and policies in Israeli courts. To bolster this work, we will also train young Palestinian lawyers to defend their community, and raise media and public awareness of the injustices they face.","Justice and Human Rights","Israel",16
"1876","Soap Making Project","The project aims to teach displaced women and vulnerable families how to create cold process hands soap-making businesses. By empowering women to create their own business, and to help fill a basic hygiene need for displaced persons, the soap making project will positively impact the lives of those impacted by continued conflict in Darfur. Under soap-making training including entrepreneur's skills and activities, women will be able to strengthen their economic power to earn steady income.","Economic Growth","Sudan",9
"1877","Support Community Development in South-East Asia","At The Branch Foundation (TBF) we work directly with marginalized communities in Southeast Asia to achieve sustainable development through supporting education, capacity building, and renewable energy solutions. Through these grassroots endeavours, TBF offers support to populations outside the main scope of humanitarian aid such as ethnic minorities, at-risk youth, and refugees. We ensure high organisational transparency and that operational costs at kept at a minimum.","Education","Thailand",11
"1878","Donate for Clinic Medicine & Staff @ Uganda Clinic","This project will help an existing northern Uganda clinic better serve the 5000+ people from 5 villages who rely on this remote clinic to serve their health care needs. This clinic needs additional medicines and more staff to better respond to the coronavirus crisis as well as the continued overload of malaria cases during rainy seasons each year.","Physical Health","Uganda",20
"1879","Save and Rescue an Asian Elephant Today","A gift to this project will give an Elephant in Asia a better life today. We are working with a number of carefully selected local communities to fight the illegal act of forcing elephants to work in the tourism trade, whilst working to guard the elephants that are still in the wild by monitoring and funding protected areas. Many Elephants are forced to work in cities to bring in an income and this project aims to change this to a new strategy to promote ethical and responsible tourism in Asia","Wildlife Conservation","Thailand",27
"1880","Online Learning for 1000 Changemakers Globally","Whether teaching underprivileged girls how to build robots in El Salvador/Nigeria, facilitating access to drinking water in impoverished neighbourhoods in Venezuela or bringing solar electricity to remote rural schools in Malawi - these are stories of just 4 of the young leaders we support. GCM wants to reach 1000 young social entrepreneurs in 100 countries and teach them how to create, execute and scale effective and sustainable solutions into the work they do for the communities they serve.","Education","Switzerland",11
"1881","$1 for Higher Education Project","NAPE Foundation has been awarding scholarships to Ghanaian students since 2006. Enrollment into institutions of higher learning in Ghana and throughout Africa is a daunting experience for students. Palm Institute dedicates its efforts to reach out to the less privileged many living in rural areas to equip them for today's competitive world. Currently 100% of students receive scholarships. A four-year degree program in BSc. in Business Information Technology will commence in January 2021.","Education","Ghana",11
"1882","Help 96 Children with Disabilities THRIVE in Kenya","Imagine a child with a disability abandoned because of cultural stigma. At the Compassionate Hands for the Disabled Foundation (CHDF) Outreach Centre outside Ruai, Nairobi, Kenya, we work to ensure that orphans and other vulnerable children with mental and/or physical disabilities have the shelter, education and care they need.","Education","Kenya",11
"1883","Educate and Equip Girls in Rural China","CWEF High School Scholarships educate and equip students from low-income families in rural China. We work with local partners to identify students who are well-qualified (good character and grades) and vulnerable (low-income, female, minority, etc). Beyond financial support, CWEF staff, local partners, and volunteers invest in these young women and equip them for life through enrichment activities that help build resilience, leadership skills, and readiness for university or career.","Gender Equality","China",15
"1884","Providing Inclusive Education in Tanzania","Amani provides private school scholarships to at-risk children and youth in the Mto wa Mbu community. Our education project provides funding to cover the cost of tuition, supplies, and transportation for students in need. This ensures children have the right to learn, without gaps in their education due to financial stress, from nursery classes as toddlers all the way through to advanced secondary school as adults.","Education","Tanzania, United Republic of",11
"1885","Protecting Painted Dogs","Painted dogs are one of Africa's most endangered yet least understood animals. Hugely vulnerable to human encroachment and agricultural expansion, painted dog habitats have rapidly reduced, pushing them into even greater conflict with humans. David Shepherd Wildlife Foundation helps to protect painted dogs by funding immersive educational bush camps, alongside anti-poaching and ranger protection teams, working on the front line of species protection and community engagement.","Wildlife Conservation","Zimbabwe",27
"1886","Empower 500 Homeless Girls with Books and Wellness","Between November 2019 and May 1, 2020, thousands of Filipino families became homeless due to non-stop calamities including a large earthquake, typhoon floods, the eruption of Taal volcano in the capitol region, Covid19, armed conflict, and a major fire in Jolo, Mindanao. Women and girls are the most seriously affected. This project will empower girls made homeless from these disasters by providing books and school supplies to continue their education and hygiene supplies for wellness programs.","Gender Equality","Philippines",15
"1887","Self Defence for 700 young girls in Nagpur, India","Our self-defence courses in Nagpur support women and girls in overcoming violent or precarious situations with strength and self-defence skills. Here, they learn the simple tricks and tips to respond proactively in a situation under which they are stalked, 'eve-teased', groped or face other forms of violence. Alone in 2019, 306 young girls gained the self-confidence to raise their voices against the harassment and injustice meted to them. 'Wenlido' courses are part of Prabodhini project.","Gender Equality","India",15
"1888","Post-Secondary Education for Students in Tanzania","This project builds on our prior success with supporting youth in accessing secondary education. Our expanded goal is to provide support to students who are pursuing post-secondary education (i.e., high school, vocational training, diploma and certificate programs, and university). We are seeking to ensure that education doesn't end with secondary school for successful and aspiring Tanzanian youth. Help us add more doctors, engineers, nurses, teachers, economists and more to Tanzania.","Education","Tanzania, United Republic of",11
"1889","Support literacy and learning for 1,900 Maya youth","Our Saber Sin Limites (Limitless Knowledge) Community Library is the first and only public library in the indigenous town of Chajul, Guatemala. Library users have access to over 10,000 books, multiple microscopes, and STEM resources. Two local librarians work to make reading fun and accessible for Chajul's children and their families. You can help us continue to serve local children and provide quality services to the whole community.","Education","Guatemala",11
"1890","Empowering 500 Rwandan women living with HIV/AIDS","Over 50% of those infected by HIV/AIDS in Rwanda are women. This project addresses the need to avail 500 women from Kamonyi District with life supporting skills to fight stigma, discrimination and empower them with their lively hoods and income generating activities through basketry weaving, livestock rearing and farming so as to adopt a pro-life and positive attitude and to face the future with hope and confidence.","Gender Equality","Rwanda",15
"1891","Die Arche - Munich","""Making children strong for life!"" This slogan neatly sums up how ""Die Arche"" reaches out to support socially disadvantaged children and young people in inner cities of Germany. Every day, the children we support enjoy a free lunch, get help with their homework and have a chance to participate in meaningful after-school activities. At ""Die Arche"", we give children the space they need to discover their potential. We nurture their talent, encourage and facilitate educational achievement.","Education","Germany",11
"1892","Empower Syrian Girls to Dream Big","In Syria today, over 1.75 million children are out of school, and many schools have destroyed. Girls are disproportionally affected. NuDay is countering this with our Future Generation Initiative (FGI), which prioritizes education and livelihood trainings for young women. Through your support, the initiative ensures that girls are able to build their futures - as they want it! Support Girl (Em)Power(Ment)!","Gender Equality","Syrian Arab Republic",15
"1893","GlobalGiving Flex Fund","There are thousands of urgent causes in need of support in the GlobalGiving community, and your gift to our Flex Fund is one of the best ways to help them all. Every $1 donated to this fund generates $7 in return for GlobalGiving's high-impact nonprofit partners.","Economic Growth","United States",9
"1894","Aged Home Needs Support for 26 neglected elders","26 neglected elderly are provided by food, nutrition, health, recreation, safe accommodation and counseling. It gives safe accommodation, food, health and free of isolation and mentally they are freed from the burden and isolation. Till death they are cared and then funeral is done in their religious belief in death.","Food Security","India",14
